years,treeless,–40,41–80,81–120,120+
1921-1924,0.01,0.03,0.19,0.21,0.55
1964-1970,0.05,0.20,0.20,0.21,0.34
1986-1992,0.01,0.27,0.33,0.14,0.25
2001-2003,0.01,0.27,0.33,0.18,0.21
2005-2006,0.01,0.28,0.34,0.17,0.20
2016-2020,0.01,0.23,0.37,0.22,0.17
